time,log_return
2024-01-01 00:00:00+00:00,0.0004
2024-01-01 01:00:00+00:00,0.00045175571892830174
2024-01-01 02:00:00+00:00,0.000499160104652475
2024-01-01 03:00:00+00:00,0.0005420205714484861
2024-01-01 04:00:00+00:00,0.0005802279359612154
2024-01-01 05:00:00+00:00,0.0006137541229699621
2024-01-01 06:00:00+00:00,0.0006426482996753846
2024-01-01 07:00:00+00:00,0.000667031543511554
2024-01-01 08:00:00+00:00,0.0006870901777298536
2024-01-01 09:00:00+00:00,0.000703067935357974
2024-01-01 10:00:00+00:00,0.0007152571350748914
2024-01-01 11:00:00+00:00,0.0007239890715996774
2024-01-01 12:00:00+00:00,0.000729623837986367
2024-01-01 13:00:00+00:00,0.0007325398074546386
2024-01-01 14:00:00+00:00,0.0007331230078660709
2024-01-01 15:00:00+00:00,0.0007317566225751991
2024-01-01 16:00:00+00:00,0.0007288108471401509
2024-01-01 17:00:00+00:00,0.0007246333223656513
2024-01-01 18:00:00+00:00,0.0007195403505656685
2024-01-01 19:00:00+00:00,0.0007138090840616155
2024-01-01 20:00:00+00:00,0.0007076708531502596
2024-01-01 21:00:00+00:00,0.000701305775538754
2024-01-01 22:00:00+00:00,0.0006948387610786181
2024-01-01 23:00:00+00:00,0.000688336995122063
2024-01-02 00:00:00+00:00,0.0006818089516066378
2024-01-02 01:00:00+00:00,0.0006752049537165417
2024-01-02 02:00:00+00:00,0.0006684192663610391
2024-01-02 03:00:00+00:00,0.0006612936714492287
2024-01-02 04:00:00+00:00,0.0006536224447157515
2024-01-02 05:00:00+00:00,0.0006451586223323111
2024-01-02 06:00:00+00:00,0.0006356214173585436
2024-01-02 07:00:00+00:00,0.0006247046208282273
2024-01-02 08:00:00+00:00,0.00061208580045847
2024-01-02 09:00:00+00:00,0.0005974360920650206
2024-01-02 10:00:00+00:00,0.0005804303651407576
2024-01-02 11:00:00+00:00,0.0005607575349935251
2024-01-02 12:00:00+00:00,0.0005381307895368755
2024-01-02 13:00:00+00:00,0.0005122974993784403
2024-01-02 14:00:00+00:00,0.0004830485852513329
2024-01-02 15:00:00+00:00,0.0004502271269803984
2024-01-02 16:00:00+00:00,0.00041373601286594263
2024-01-02 17:00:00+00:00,0.000373544447307954
2024-01-02 18:00:00+00:00,0.00032969315730155784
2024-01-02 19:00:00+00:00,0.00028229816464747334
2024-01-02 20:00:00+00:00,0.0002315530198073047
2024-01-02 21:00:00+00:00,0.00017772942470081153
2024-01-02 22:00:00+00:00,0.00012117620475161889
2024-01-02 23:00:00+00:00,6.231662446557786e-05
2024-01-03 00:00:00+00:00,1.6440750778418925e-06
2024-01-03 01:00:00+00:00,-6.028380337011721e-05
2024-01-03 02:00:00+00:00,-0.00012285247045688225
2024-01-03 03:00:00+00:00,-0.00018539917832957435
2024-01-03 04:00:00+00:00,-0.0002472228547048898
2024-01-03 05:00:00+00:00,-0.00030759499597804126
2024-01-03 06:00:00+00:00,-0.000365771368559389
2024-01-03 07:00:00+00:00,-0.0004210042986173623
